objectid,title,artist,date,medium,acquisition,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
geographybook-03,Illustrated Geography Book,Betty Bolduc,,Original Photograph,"Franco-American Collection, University of Southern Maine Libraries",memorobilia; writing; art; traditions; creative; book; performance; play,"Franco-American Collection, University of Southern Maine Libraries",,,"Franco-American Collection, University of Southern Maine Libraries",fac-geographybook-03,Image;StillImage,image/jpeg,eng,"Creative Commons attribution; non-commercial, non-derivative",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/geographybook-03.jpg,/objects/small/geographybook-03_sm.jpg,/objects/thumbs/geographybook-03_th.jpg,,
doll-01,Baby Doll,,,Original Photograph,"Franco-American Collection, University of Southern Maine Libraries",memorobilia; toys; childhood; traditions; play,"Franco-American Collection, University of Southern Maine Libraries",,,"Franco-American Collection, University of Southern Maine Libraries",fac-doll-01,Image;StillImage,image/jpeg,eng,"Creative Commons attribution; non-commercial, non-derivative",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/doll-01.jpg,/objects/small/doll-01_sm.jpg,/objects/thumbs/doll-01_th.jpg,,
doll-02,Baby Doll,,,Original Photograph,"Franco-American Collection, University of Southern Maine Libraries",memorobilia; toys; childhood; traditions; play,"Franco-American Collection, University of Southern Maine Libraries",,,"Franco-American Collection, University of Southern Maine Libraries",fac-doll-02,Image;StillImage,image/jpeg,eng,"Creative Commons attribution; non-commercial, non-derivative",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/doll-02.jpg,/objects/small/doll-02_sm.jpg,/objects/thumbs/doll-02_th.jpg,,
horse-01,Toy Riding Horse,,,Original Photograph,"Franco-American Collection, University of Southern Maine Libraries",memorobilia; toys; childhood; traditions; play,"Franco-American Collection, University of Southern Maine Libraries",,,"Franco-American Collection, University of Southern Maine Libraries",fac-horse-01,Image;StillImage,image/jpeg,eng,"Creative Commons attribution; non-commercial, non-derivative",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/horse-01.jpg,/objects/small/horse-01_sm.jpg,/objects/thumbs/horse-01_th.jpg,,
horse-02,Toy Riding Horse,,,Original Photograph,"Franco-American Collection, University of Southern Maine Libraries",memorobilia; toys; childhood; traditions; play,"Franco-American Collection, University of Southern Maine Libraries",,,"Franco-American Collection, University of Southern Maine Libraries",fac-horse-02,Image;StillImage,image/jpeg,eng,"Creative Commons attribution; non-commercial, non-derivative",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/horse-02.jpg,/objects/small/horse-02_sm.jpg,/objects/thumbs/horse-02_th.jpg,,
snowshoes,,,,Original Photograph,"Franco-American Collection, University of Southern Maine Libraries",memorobilia; outdoor sports; festival; traditions; winter; play,"Franco-American Collection, University of Southern Maine Libraries",,,"Franco-American Collection, University of Southern Maine Libraries",fac-snowshoes,Image;StillImage,image/jpeg,eng,"Creative Commons attribution; non-commercial, non-derivative",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/snowshoes.jpg,/objects/small/snowshoes_sm.jpg,/objects/thumbs/snowshoes_th.jpg,,
perriertrophies,,,,Original Photograph,"Franco-American Collection, University of Southern Maine Libraries",memorobilia; outdoor sports; olympics; festival; traditions; winter; play,"Franco-American Collection, University of Southern Maine Libraries",,,"Franco-American Collection, University of Southern Maine Libraries",fac-perriertrophies,Image;StillImage,image/jpeg,eng,"Creative Commons attribution; non-commercial, non-derivative",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/perriertrophies.jpg,/objects/small/perriertrophies_sm.jpg,/objects/thumbs/perriertrophies_th.jpg,,
cabaret-01,Cabaret Quebecois,,,Original Photograph,"Franco-American Collection, University of Southern Maine Libraries",memorobilia; outdoor sports; olympics; festival; traditions; winter; play,"Franco-American Collection, University of Southern Maine Libraries",,,"Franco-American Collection, University of Southern Maine Libraries",fac-cabaret-01,Image;StillImage,image/jpeg,eng,"Creative Commons attribution; non-commercial, non-derivative",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/cabaret-01.jpg,/objects/small/cabaret-01_sm.jpg,/objects/thumbs/cabaret-01_th.jpg,,
cabaret-02,Cabaret Quebecois,,,Original Photograph,"Franco-American Collection, University of Southern Maine Libraries",memorobilia; outdoor sports; olympics; festival; traditions; winter; play,"Franco-American Collection, University of Southern Maine Libraries",,,"Franco-American Collection, University of Southern Maine Libraries",fac-cabaret-02,Image;StillImage,image/jpeg,eng,"Creative Commons attribution; non-commercial, non-derivative",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/cabaret-02.jpg,/objects/small/cabaret-02_sm.jpg,/objects/thumbs/cabaret-02_th.jpg,,
dress-01,Pennant Dress,,,Original Photograph,"Franco-American Collection, University of Southern Maine Libraries",memorobilia; outdoor sports; olympics; festival; traditions; winter; play,"Franco-American Collection, University of Southern Maine Libraries",,,"Franco-American Collection, University of Southern Maine Libraries",fac-dress-01,Image;StillImage,image/jpeg,eng,"Creative Commons attribution; non-commercial, non-derivative",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/dress-01.jpg,/objects/small/dress-01_sm.jpg,/objects/thumbs/dress-01_th.jpg,,
dress-02,Pennant Dress,,,Original Photograph,"Franco-American Collection, University of Southern Maine Libraries",memorobilia; outdoor sports; olympics; festival; traditions; winter; play,"Franco-American Collection, University of Southern Maine Libraries",,,"Franco-American Collection, University of Southern Maine Libraries",fac-dress-02,Image;StillImage,image/jpeg,eng,"Creative Commons attribution; non-commercial, non-derivative",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/dress-02.jpg,/objects/small/dress-02_sm.jpg,/objects/thumbs/dress-02_th.jpg,,
dress-03,Pennant Dress,,,Original Photograph,"Franco-American Collection, University of Southern Maine Libraries",memorobilia; outdoor sports; olympics; festival; traditions; winter; play,"Franco-American Collection, University of Southern Maine Libraries",,,"Franco-American Collection, University of Southern Maine Libraries",fac-dress-03,Image;StillImage,image/jpeg,eng,"Creative Commons attribution; non-commercial, non-derivative",https://rightsstatements.org/page/InC/1.0/?language=en,image,/objects/dress-03.jpg,/objects/small/dress-03_sm.jpg,/objects/thumbs/dress-03_th.jpg,,
fernpainting,,,,,,,,,,,,,,,,,,,,,,
